Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot6,"Platinum",hard,61,Failed,"Boss Hunter","Spawn Point (190.7 -0.1 175.9)","1","00:22:49","00:33:12",
Bot7,"TR_LEOPAR",hard,55,Failed,"Boss Hunter","Spawn Point (190.7 -0.1 175.9)","1","00:22:49","00:29:33",
Bot14,"igorir3",hard,65,Failed,"The Courier","Zone mech_41_2","1","00:22:56","00:24:25",
Bot15,"Doge",hard,63,Failed,"The Courier","Zone mech_41_2","1","00:22:56","00:23:34",
Bot4,"SlejmUr",hard,66,Failed,"The Courier","Zone mech_41_1","1","00:29:52","00:32:21",
Bot5,"TEOA",hard,59,Completed,"Junk Bridge Crossing Camping","Junk Bridge Crossing Camping: Objective #1","2","00:29:53","00:35:05",
Bot5,"TEOA",hard,59,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","00:35:10","00:36:12",
Bot35,"Филат Арбидол (vampuico)",normal,54,Pending,"Military Base CP","Military Base CP: Objective #1","1","00:32:15","N/A",
Bot1,"Jeo",hard,63,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","00:41:28","00:44:05",
Bot1,"Jeo",hard,63,Active,"Crackhouse","Crackhouse: Objective #7","1","00:44:11","N/A",
Bot3,"bandit",hard,64,Failed,"Garage","Garage: Objective #1","1","00:41:36","00:43:37",
Bot2,"Devraccoon",hard,56,Completed,"Big Red","Big Red: Objective #2","1","00:45:26","00:45:52",
Bot2,"Devraccoon",hard,56,Active,"Big Red","Big Red: Objective #3","1","00:45:57","N/A",
