Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"CrocodileJonesy",hard,50,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","12:44:12","12:44:36",
Bot2,"oroku",hard,40,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","2","12:44:12","12:45:51",
Bot4,"SUPERBUBU3000",hard,47,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","12:44:12","12:45:46",
Bot3,"Tusken",hard,48,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","12:44:13","12:44:31",
Bot3,"Tusken",hard,48,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","12:44:37","12:54:41",
Bot10,"白闲者",hard,49,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","12:44:36","12:44:37",
