Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot89,"Lave",hard,48,Completed,"Boss Hunter","Spawn Point (73.1 14.1 -56.5)","1","17:45:06","17:48:30",
Bot89,"Lave",hard,48,Completed,"Boss Hunter","Spawn Point (26.1 23.9 -24.0)","1","17:48:36","17:49:14",
Bot89,"Lave",hard,48,Completed,"Boss Hunter","Spawn Point (-8.4 23.9 -0.4)","1","17:49:19","17:49:31",
Bot89,"Lave",hard,48,Completed,"Boss Hunter","Spawn Point (-15.5 23.8 -56.6)","1","17:49:36","17:49:51",
Bot89,"Lave",hard,48,Completed,"Boss Hunter","Spawn Point (-11.0 23.9 -5.8)","1","17:49:56","17:50:10",
Bot89,"Lave",hard,48,Completed,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","17:50:15","17:50:27",
Bot89,"Lave",hard,48,Failed,"Boss Hunter","Spawn Point (45.6 23.3 -99.8)","1","17:50:32","17:51:56",
Bot87,"Alex",hard,46,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","17:45:07","17:47:12",
Bot87,"Alex",hard,46,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:47:18","17:49:34",
Bot87,"Alex",hard,46,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:49:39","17:50:42",
Bot87,"Alex",hard,46,Failed,"TerraGroup Office Quest Room Camping","TerraGroup Office Quest Room Camping: Objective #1","2","17:50:47","17:52:59",
Bot91,"Carl",hard,55,Completed,"Boss Hunter","Spawn Point (57.5 23.4 229.6)","1","17:45:07","17:45:23",
Bot91,"Carl",hard,55,Completed,"Boss Hunter","Spawn Point (109.1 22.7 234.2)","1","17:45:28","17:45:53",
Bot91,"Carl",hard,55,Completed,"Boss Hunter","Spawn Point (151.5 22.9 243.4)","1","17:45:58","17:47:04",
Bot91,"Carl",hard,55,Completed,"Boss Hunter","Spawn Point (127.5 23.2 194.1)","1","17:47:09","17:47:28",
Bot91,"Carl",hard,55,Failed,"Boss Hunter","Spawn Point (117.5 29.0 148.6)","1","17:47:33","17:48:44",
Bot91,"Carl",hard,55,Failed,"Boss Hunter","Spawn Point (64.4 14.7 164.4)","1","17:48:08","17:48:44",
Bot88,"lualeet",hard,53,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:45:07","17:46:53",
Bot90,"大熊",hard,49,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","17:45:09","17:46:05",
Bot98,"Arys",hard,51,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","17:45:30","17:47:23",
Bot98,"Arys",hard,51,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:47:28","17:54:03",
Bot127,"MemeG",hard,53,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:55:16","17:57:41",
Bot127,"MemeG",hard,53,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","17:57:46","17:58:02",
Bot126,"TinglePlayerParkov",hard,53,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:55:16","17:55:20",
Bot126,"TinglePlayerParkov",hard,53,Failed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","17:55:25","17:55:41",
Bot126,"TinglePlayerParkov",hard,53,Failed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","17:55:46","17:55:46",
Bot126,"TinglePlayerParkov",hard,53,Failed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","17:55:51","17:55:51",
Bot126,"TinglePlayerParkov",hard,53,Failed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","17:55:57","17:55:57",
Bot126,"TinglePlayerParkov",hard,53,Failed,"Skyside Hotel","Skyside Hotel: Objective #4","1","17:56:02","17:57:14",
Bot126,"TinglePlayerParkov",hard,53,Failed,"Skyside Hotel","Skyside Hotel: Objective #1","1","17:57:19","17:57:27",
Bot126,"TinglePlayerParkov",hard,53,Failed,"Skyside Hotel","Skyside Hotel: Objective #3","1","17:57:32","17:57:32",
