Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot73,"Мирослав Трудовик (Terkoiz)",hard,41,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","17:12:55","17:15:53",
Bot73,"Мирослав Трудовик (Terkoiz)",hard,41,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","17:15:58","17:16:21",
Bot73,"Мирослав Трудовик (Terkoiz)",hard,41,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","17:16:26","17:16:53",
Bot73,"Мирослав Трудовик (Terkoiz)",hard,41,Completed,"3rd Floor Hallway","3rd Floor Hallway: Objective #1","1","17:16:58","17:17:10",
Bot73,"Мирослав Трудовик (Terkoiz)",hard,41,Failed,"Engineer's Office","Engineer's Office: Objective #1","1","17:17:15","17:17:28",
Bot73,"Мирослав Трудовик (Terkoiz)",hard,41,Pending,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","17:17:33","N/A",
