Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot10,"epidemicz",normal,38,Failed,"Village West House","Village West House: Objective #1","1","11:23:00","11:25:42",
Bot9,"toaddsworth",normal,45,Failed,"The Hermit","Item Sealed letter","1","11:23:00","11:24:48",
Bot14,"TimmyGG",normal,33,Failed,"The Hermit","Zone qlight_hunt_fr_find","1","11:23:13","11:29:07",
Bot15,"btdc00",normal,43,Active,"Boss Hunter","Spawn Point (-128.5 20.1 -106.2)","1","11:23:13","N/A",
