Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot33,"Borkel",hard,60,Pending,"Village East House Backyard","Village East House Backyard: Objective #1","1","00:01:10","N/A",
Bot31,"Vega",hard,54,Pending,"Key to the Tower","Item Radio transmitter body","1","00:01:10","N/A",
Bot32,"Capataina",hard,59,Pending,"Key to the Tower","Item Radio transmitter body","1","00:01:10","N/A",
Bot30,"Mr_Pudlik",hard,53,Pending,"Snatch","Item Forged Lightkeeper intelligence","1","00:01:10","N/A",
