Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot38,"Props",hard,61,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","14:08:26","14:08:40",
Bot38,"Props",hard,61,Failed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","14:08:45","14:09:38",
Bot43,"Fiaf",hard,57,Failed,"The Courier","Zone mech_41_1","1","14:08:26","14:14:05",
Bot39,"LimboFPS",hard,59,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","14:08:27","14:14:13",
Bot40,"BaddestDragon",hard,57,Failed,"Boss Hunter","Spawn Point (109.9 1.2 -109.8)","1","14:08:27","14:14:44",
Bot42,"kova",hard,63,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","14:08:27","14:14:38",
Bot41,"Ilhsiek",hard,59,Failed,"Boss Hunter","Spawn Point (109.9 1.2 -109.8)","1","14:08:29","14:13:47",
