Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Bingus",normal,62,Failed,"Boss Hunter","Spawn Point (-136.4 -14.6 41.6)","1","14:38:57","14:42:27",
Bot4,"captainfoam",normal,67,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","14:38:57","14:39:54",
Bot2,"MemeG",normal,70,Failed,"D2 from Dome","D2 from Dome: Objective #1","1","14:38:57","14:38:59",
Bot2,"MemeG",normal,70,Failed,"D2 from Dome","D2 from Dome: Objective #3","1","14:39:04","14:39:13",
Bot3,"weewoo",normal,68,Failed,"Black Pawn","Black Pawn: Objective #5","1","14:38:57","14:41:49",
Bot5,"Valens",normal,68,Failed,"White King","White King: Objective #10","1","14:38:57","14:41:42",
Bot33,"Саня Фриц (rozema)",normal,57,Completed,"White Pawn","White Pawn: Objective #5","1","14:43:46","14:43:57",
Bot33,"Саня Фриц (rozema)",normal,57,Completed,"White Pawn","White Pawn: Objective #4","1","14:44:02","14:44:25",
Bot33,"Саня Фриц (rozema)",normal,57,Completed,"White Pawn","White Pawn: Objective #2","1","14:44:30","14:45:04",
Bot33,"Саня Фриц (rozema)",normal,57,Failed,"White Pawn","White Pawn: Objective #3","1","14:45:09","14:45:17",
Bot33,"Саня Фриц (rozema)",normal,57,Failed,"White Pawn","White Pawn: Objective #6","1","14:45:22","14:45:30",
Bot33,"Саня Фриц (rozema)",normal,57,Completed,"White Pawn","White Pawn: Objective #1","1","14:45:35","14:47:18",
Bot33,"Саня Фриц (rozema)",normal,57,Failed,"D2 from Dome","D2 from Dome: Objective #3","1","14:47:24","14:50:20",
Bot33,"Саня Фриц (rozema)",normal,57,Failed,"D2 from Dome","D2 from Dome: Objective #1","1","14:50:25","14:50:33",
Bot33,"Саня Фриц (rozema)",normal,57,Failed,"D2 from Dome","D2 from Dome: Objective #2","1","14:50:38","14:50:51",
Bot33,"Саня Фриц (rozema)",normal,57,Completed,"Dome Buildings","Dome Buildings: Objective #1","1","14:50:56","14:51:05",
Bot37,"Kobrakon",normal,57,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","14:45:05","14:45:13",
Bot37,"Kobrakon",normal,57,Failed,"Hermetic Depot","Hermetic Depot: Objective #7","1","14:45:18","14:45:37",
Bot37,"Kobrakon",normal,57,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","14:45:42","14:45:52",
Bot37,"Kobrakon",normal,57,Completed,"Hermetic Depot","Hermetic Depot: Objective #1","1","14:45:57","14:46:02",
Bot37,"Kobrakon",normal,57,Completed,"Hermetic Depot","Hermetic Depot: Objective #6","1","14:46:08","14:46:19",
Bot37,"Kobrakon",normal,57,Failed,"Hermetic Depot","Hermetic Depot: Objective #5","1","14:46:24","14:46:51",
Bot37,"Kobrakon",normal,57,Completed,"Hermetic Depot","Hermetic Depot: Objective #2","1","14:46:56","14:47:50",
Bot37,"Kobrakon",normal,57,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","14:47:55","14:48:27",
Bot37,"Kobrakon",normal,57,Completed,"White Knight Rear Drop-Down","White Knight Rear Drop-Down: Objective #1","1","14:48:32","14:49:12",
Bot37,"Kobrakon",normal,57,Completed,"White Knight","White Knight: Objective #1","3","14:49:17","14:53:51",
Bot37,"Kobrakon",normal,57,Active,"White Knight","White Knight: Objective #3","2","14:53:56","N/A",
Bot6,"Vega",normal,59,Completed,"White Knight","White Knight: Objective #3","2","14:45:12","14:46:44",
Bot6,"Vega",normal,59,Completed,"White Knight","White Knight: Objective #2","3","14:46:49","14:47:49",
Bot6,"Vega",normal,59,Completed,"White Knight","White Knight: Objective #1","3","14:47:55","14:48:25",
Bot6,"Vega",normal,59,Completed,"Hermetic Alarm Patrol","Hermetic Alarm Patrol: Objective #3","2","14:48:30","14:50:53",
Bot6,"Vega",normal,59,Failed,"Hermetic Alarm Patrol","Hermetic Alarm Patrol: Objective #1","1","14:50:58","14:51:48",
Bot6,"Vega",normal,59,Failed,"Hermetic Alarm Patrol","Hermetic Alarm Patrol: Objective #4","1","14:51:54","14:55:02",
Bot40,"JustNU",normal,58,Completed,"Black Pawn","Black Pawn: Objective #5","1","14:45:59","14:51:26",
Bot40,"JustNU",normal,58,Failed,"Black Pawn","Black Pawn: Objective #2","1","14:51:31","14:51:31",
Bot40,"JustNU",normal,58,Completed,"Black Pawn","Black Pawn: Objective #6","1","14:51:36","14:51:53",
Bot40,"JustNU",normal,58,Failed,"Black Pawn","Black Pawn: Objective #1","1","14:51:58","14:51:58",
Bot40,"JustNU",normal,58,Completed,"Black Pawn","Black Pawn: Objective #7","1","14:52:03","14:52:21",
Bot40,"JustNU",normal,58,Failed,"Black Pawn","Black Pawn: Objective #10","1","14:52:26","14:52:35",
Bot40,"JustNU",normal,58,Active,"Black Pawn","Black Pawn: Objective #4","1","14:52:41","N/A",
Bot41,"Ричи Шапито (Fin)",normal,57,Completed,"White King","White King: Objective #5","1","14:46:01","14:46:57",
