Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot9,"Арчи Горностай (nektoNick)",easy,47,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","11:37:37","11:37:50",
Bot9,"Арчи Горностай (nektoNick)",easy,47,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","11:37:56","11:38:31",
Bot9,"Арчи Горностай (nektoNick)",easy,47,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","11:38:36","11:39:29",
Bot9,"Арчи Горностай (nektoNick)",easy,47,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","11:39:34","11:40:00",
Bot9,"Арчи Горностай (nektoNick)",easy,47,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","11:40:06","11:40:24",
Bot9,"Арчи Горностай (nektoNick)",easy,47,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","11:40:29","11:41:01",
Bot9,"Арчи Горностай (nektoNick)",easy,47,Failed,"Engineer's Office","Engineer's Office: Objective #1","1","11:41:07","11:41:08",
Bot9,"Арчи Горностай (nektoNick)",easy,47,Completed,"Break Room","Break Room: Objective #1","1","11:41:13","11:43:26",
