Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot28,"Cheese",normal,18,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","11:35:17","11:35:44",
Bot28,"Cheese",normal,18,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","11:35:49","11:39:25",
Bot28,"Cheese",normal,18,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_2","1","11:36:28","11:37:22",
Bot28,"Cheese",normal,18,Completed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","11:37:27","11:37:57",
Bot28,"Cheese",normal,18,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","11:38:02","11:39:25",
Bot29,"Capataina",normal,47,Completed,"White Pawn","White Pawn: Objective #4","1","11:35:17","11:35:57",
Bot29,"Capataina",normal,47,Completed,"White Pawn","White Pawn: Objective #5","1","11:36:02","11:36:39",
Bot29,"Capataina",normal,47,Completed,"White Pawn","White Pawn: Objective #1","1","11:36:44","11:37:52",
Bot29,"Capataina",normal,47,Completed,"White Pawn","White Pawn: Objective #2","1","11:37:57","11:38:14",
Bot29,"Capataina",normal,47,Failed,"White Pawn","White Pawn: Objective #3","1","11:38:19","11:39:12",
Bot29,"Capataina",normal,47,Failed,"White Pawn","White Pawn: Objective #6","1","11:39:17","11:39:19",
Bot29,"Capataina",normal,47,Failed,"Command Center Rush","Command Center Rush: Objective #2","1","11:39:24","11:39:32",
Bot29,"Capataina",normal,47,Completed,"Command Center Rush","Command Center Rush: Objective #1","1","11:39:37","11:40:15",
Bot29,"Capataina",normal,47,Completed,"Command Center","Command Center: Objective #1","1","11:40:20","11:40:26",
Bot29,"Capataina",normal,47,Completed,"Command Center","Command Center: Objective #2","1","11:40:31","11:40:38",
Bot29,"Capataina",normal,47,Active,"Command Center","Command Center: Objective #4","1","11:40:43","N/A",
Bot30,"Choccy",normal,40,Completed,"NW Bunkers","NW Bunkers: Objective #5","1","11:35:17","11:35:28",
Bot30,"Choccy",normal,40,Completed,"NW Bunkers","NW Bunkers: Objective #4","1","11:35:33","11:36:08",
Bot30,"Choccy",normal,40,Completed,"NW Bunkers","NW Bunkers: Objective #3","1","11:36:13","11:36:50",
Bot30,"Choccy",normal,40,Completed,"NW Bunkers","NW Bunkers: Objective #2","1","11:36:55","11:37:07",
Bot30,"Choccy",normal,40,Completed,"NW Bunkers","NW Bunkers: Objective #1","1","11:37:12","11:37:38",
Bot30,"Choccy",normal,40,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","11:37:43","11:38:21",
Bot30,"Choccy",normal,40,Completed,"Boss Hunter","Spawn Point (104.8 -7.0 12.9)","1","11:38:22","11:40:20",
Bot30,"Choccy",normal,40,Active,"Boss Hunter","Spawn Point (65.8 -6.8 -39.2)","1","11:40:25","N/A",
Bot36,"ThatGuyXIV",normal,21,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","11:35:31","11:37:07",
