Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot88,"Богдан Корявый (Barlog_M)",normal,57,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","17:03:20","17:05:46",
Bot88,"Богдан Корявый (Barlog_M)",normal,57,Pending,"Med Tent","Med Tent: Objective #1","1","17:05:51","N/A",
