Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot26,"Шурик Правильный (HiddenCirno)",normal,1,Failed,"Med Tent","Med Tent: Objective #1","1","12:08:22","12:08:34",
Bot30,"Тихон Шнырь (Leonana69)",normal,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","12:11:25","12:12:28",
Bot30,"Тихон Шнырь (Leonana69)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","12:12:33","12:12:51",
Bot30,"Тихон Шнырь (Leonana69)",normal,1,Failed,"Basement Crates","Basement Crates: Objective #2","1","12:12:56","12:13:13",
