Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"Агафон Злой (Swankyorc)",easy,45,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","18:46:14","18:46:23",
Bot36,"Агафон Злой (Swankyorc)",easy,45,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","18:46:28","18:47:24",
Bot36,"Агафон Злой (Swankyorc)",easy,45,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","18:47:29","18:48:24",
Bot36,"Агафон Злой (Swankyorc)",easy,45,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","18:48:29","18:49:54",
Bot46,"Матвей Монгол (Floppa)",hard,45,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","18:48:38","18:49:00",
Bot46,"Матвей Монгол (Floppa)",hard,45,Completed,"Basement Crates","Basement Crates: Objective #2","1","18:49:05","18:49:53",
Bot46,"Матвей Монгол (Floppa)",hard,45,Completed,"Basement Crates","Basement Crates: Objective #1","1","18:49:58","18:50:04",
Bot46,"Матвей Монгол (Floppa)",hard,45,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","18:50:09","18:50:18",
Bot46,"Матвей Монгол (Floppa)",hard,45,Active,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","18:50:23","N/A",
