Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot62,"snapple",hard,51,Completed,"Scav Lands South Building","Scav Lands South Building: Objective #1","1","13:10:11","13:10:19",
Bot62,"snapple",hard,51,Completed,"Scav Lands South Building","Scav Lands South Building: Objective #2","1","13:10:24","13:10:35",
Bot62,"snapple",hard,51,Failed,"Boss Hunter","Spawn Point (-140.2 -7.0 -35.5)","1","13:10:41","13:15:55",
Bot62,"snapple",hard,51,Failed,"Boss Hunter","Spawn Point (-149.9 -6.2 -10.4)","1","13:15:16","13:15:55",
Bot63,"adudewithbadaim",hard,49,Active,"Command Center","Command Center: Objective #9","1","13:16:32","N/A",
Bot66,"Ngst",hard,51,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","13:10:11","13:15:00",
Bot66,"Ngst",hard,51,Failed,"Snatch","Item Lightkeeper intelligence","1","13:15:01","13:15:02",
Bot66,"Ngst",hard,51,Failed,"White Knight","White Knight: Objective #2","1","13:15:07","13:15:11",
Bot67,"Snofielf",hard,49,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","13:10:11","13:15:27",
Bot68,"Leonana69",hard,51,Completed,"Boss Hunter","Spawn Point (240.9 -7.1 -94.9)","1","13:10:11","13:10:23",
Bot68,"Leonana69",hard,51,Completed,"Boss Hunter","Spawn Point (217.3 -6.9 -172.0)","1","13:10:28","13:11:21",
Bot68,"Leonana69",hard,51,Failed,"Boss Hunter","Spawn Point (225.1 -6.8 -123.0)","1","13:11:26","13:11:30",
Bot64,"Hicchy",hard,56,Pending,"Dome Buildings","Dome Buildings: Objective #1","1","13:16:32","N/A",
Bot65,"Doge",hard,50,Pending,"D2 from Dome","D2 from Dome: Objective #1","1","13:16:32","N/A",
