Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"skitles55",hard,60,Active,"Big Red Rush","Big Red Rush: Objective #1","1","00:52:30","N/A",
Bot5,"Junko Space Mommy",hard,52,Pending,"Boss Hunter","Spawn Point (5.8 1.2 -103.4)","1","00:52:31","N/A",
Bot7,"Nikita",hard,52,Completed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","00:52:31","00:55:16",
Bot7,"Nikita",hard,52,Active,"Dorms 2 Story Bathroom Camping Floor 1","Dorms 2 Story Bathroom Camping Floor 1: Objective #1","1","00:55:21","N/A",
Bot1,"CreamCheese",hard,58,Active,"Big Red","Big Red: Objective #4","1","00:55:06","N/A",
Bot2,"nohurry",hard,58,Pending,"Big Red","Big Red: Objective #4","1","00:55:06","N/A",
Bot6,"Nightingale",hard,54,Active,"The Courier","Zone mech_41_1","1","00:55:06","N/A",
Bot4,"Borkel",hard,53,Pending,"Bullshit","Item Flash drive with fake info","1","00:55:06","N/A",
