Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot29,"Nomad_420",hard,63,Completed,"Big Red Camping","Big Red Camping: Objective #1","2","13:02:43","13:06:19",
Bot29,"Nomad_420",hard,63,Failed,"Big Red Camping","Big Red Camping: Objective #2","1","13:06:24","13:06:26",
Bot29,"Nomad_420",hard,63,Active,"Crackhouse","Crackhouse: Objective #7","1","13:06:26","N/A",
Bot30,"btdc00",hard,65,Active,"The Courier","Zone mech_41_1","1","13:02:44","N/A",
Bot31,"Agnotology",hard,59,Failed,"Boss Hunter","Spawn Point (27.5 -1.1 127.3)","1","13:02:44","13:04:14",
Bot32,"Kilgor616",hard,66,Failed,"Boss Hunter","Spawn Point (27.5 -1.1 127.3)","1","13:02:44","13:04:16",
